Nr;UnixTime;Zeit;Temp;Hum;Druck;PM10;PM25
1;1713179400;24.04.15 13:10;20.5;40.3;997;3.6;1.7
2;1713178800;24.04.15 13:00;20.1;40;997.2;1.6;1.1
3;1713178200;24.04.15 12:50;20.7;40.5;997.7;6.1;1.8
4;1713177600;24.04.15 12:40;21;37.6;998;2.6;1.2
5;1713177000;24.04.15 12:30;21.1;39.8;998.1;0.9;0.9
6;1713176400;24.04.15 12:20;20.4;42;998.4;10.2;2
7;1713175800;24.04.15 12:10;20.6;42.3;998.9;6.9;2.2
8;1713175200;24.04.15 12:00;20.6;43.3;999.2;3.9;1.8
9;1713174600;24.04.15 11:50;21;43.2;999.3;2;1.6
10;1713174000;24.04.15 11:40;20.9;44.1;999.5;4.9;1.3
11;1713173400;24.04.15 11:30;19.9;47.3;999.8;10.4;2.5
12;1713172800;24.04.15 11:20;19.3;47.8;1000.1;2.2;1.5
13;1713172200;24.04.15 11:10;19.1;49.7;1000.2;4.6;1.2
14;1713171600;24.04.15 11:00;18.7;51.3;1000.5;3.4;1.3
15;1713171000;24.04.15 10:50;18.1;53.7;1000.6;2.1;1.9
16;1713170400;24.04.15 10:40;17.6;54.5;1000.6;1.8;1.7
17;1713169800;24.04.15 10:30;17.7;56.5;1000.7;2.3;1.7
18;1713169200;24.04.15 10:20;17.1;58.2;1000.9;2.7;1.9
19;1713168600;24.04.15 10:10;16.3;60.8;1001;2.5;1.9
20;1713168000;24.04.15 10:00;15.4;66.3;1001.4;3.7;1.9
